"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",3,"H0",1,"Stage 2","-0.003206 (0.001809)","0.2566 (0.001281)","0.9514 (0.001516)","1.012 (0)",20108,20108
"Normal",3,"H0",1,"Naive","0.09729 (0.0008975)","0.1602 (0.0008172)","0.8533 (0.002495)","0.5698 (0.001128)",20108,20108
"Normal",3,"H0",1,"CBAE-SI","0.01717 (0.001108)","0.1581 (0.0008952)","—","—",20108,
"Normal",3,"H0",1,"CBAE-MI","-0.04195 (0.001364)","0.1960 (0.001148)","—","—",19706,
"Normal",3,"H0",1,"CMUE-MLE","-0.03591 (0.001439)","0.2072 (0.001141)","0.9601 (0.001380)","0.8672 (0.0007522)",20108,20108
"Normal",3,"H0",1,"CMUE-ZERO","-0.02595 (0.001508)","0.2154 (0.001156)","0.9504 (0.001532)","0.8666 (0.0007938)",20108,20108
"Normal",3,"H0",1,"RB","-0.002726 (0.001552)","0.2200 (0.001062)","0.9537 (0.001483)","0.8587 (0.0006143)",20108,20108
"Normal",3,"H0",2,"Stage 2","0.0004692 (0.001849)","0.2614 (0.001298)","0.9462 (0.001595)","1.012 (0)",20000,20000
"Normal",3,"H0",2,"Naive","0.09848 (0.0009113)","0.1622 (0.0008326)","0.8499 (0.002526)","0.5711 (0.001152)",20000,20000
"Normal",3,"H0",2,"CBAE-SI","0.01859 (0.001126)","0.1603 (0.0009100)","—","—",20000,
"Normal",3,"H0",2,"CBAE-MI","-0.04047 (0.001385)","0.1982 (0.001166)","—","—",19610,
"Normal",3,"H0",2,"CMUE-MLE","-0.03318 (0.001460)","0.2091 (0.001162)","0.9572 (0.001432)","0.8652 (0.0007600)",20000,20000
"Normal",3,"H0",2,"CMUE-ZERO","-0.02330 (0.001526)","0.2171 (0.001176)","0.9484 (0.001564)","0.8646 (0.0007996)",20000,20000
"Normal",3,"H0",2,"RB","0.0004026 (0.001569)","0.2218 (0.001064)","0.9511 (0.001525)","0.8569 (0.0006232)",19998,19998
"Normal",3,"H0",3,"Stage 2","0.0003439 (0.001834)","0.2590 (0.001286)","0.9498 (0.001546)","1.012 (0)",19941,19941
"Normal",3,"H0",3,"Naive","0.09883 (0.0009076)","0.1618 (0.0008344)","0.8510 (0.002522)","0.5700 (0.001144)",19941,19941
"Normal",3,"H0",3,"CBAE-SI","0.01885 (0.001120)","0.1593 (0.0009182)","—","—",19941,
"Normal",3,"H0",3,"CBAE-MI","-0.04019 (0.001377)","0.1967 (0.001171)","—","—",19541,
"Normal",3,"H0",3,"CMUE-MLE","-0.03241 (0.001456)","0.2081 (0.001173)","0.9604 (0.001381)","0.8645 (0.0007638)",19941,19941
"Normal",3,"H0",3,"CMUE-ZERO","-0.02208 (0.001523)","0.2162 (0.001183)","0.9508 (0.001532)","0.8637 (0.0008054)",19941,19941
"Normal",3,"H0",3,"RB","0.0009864 (0.001570)","0.2217 (0.001071)","0.9536 (0.001490)","0.8567 (0.0006236)",19941,19940
"Normal",3,"H0",4,"Stage 2","0.001851 (0.001827)","0.2586 (0.001297)","0.9509 (0.001526)","1.012 (0)",20029,20029
"Normal",3,"H0",4,"Naive","0.09948 (0.0009041)","0.1621 (0.0008532)","0.8527 (0.002504)","0.5723 (0.001141)",20029,20029
"Normal",3,"H0",4,"CBAE-SI","0.02010 (0.001114)","0.1589 (0.0009233)","—","—",20029,
"Normal",3,"H0",4,"CBAE-MI","-0.03860 (0.001366)","0.1955 (0.001155)","—","—",19672,
"Normal",3,"H0",4,"CMUE-MLE","-0.03226 (0.001444)","0.2069 (0.001162)","0.9595 (0.001394)","0.8662 (0.0007567)",20029,20029
"Normal",3,"H0",4,"CMUE-ZERO","-0.02242 (0.001511)","0.2150 (0.001173)","0.9500 (0.001540)","0.8654 (0.0007972)",20029,20029
"Normal",3,"H0",4,"RB","0.001231 (0.001555)","0.2200 (0.001070)","0.9519 (0.001513)","0.8574 (0.0006174)",20027,20027
"Normal",3,"H1",1,"Stage 2","-0.002790 (0.001620)","0.2568 (0.001154)","0.9509 (0.001363)","1.012 (0)",25110,25110
"Normal",3,"H1",1,"Naive","0.09871 (0.001070)","0.1963 (0.0008239)","0.8168 (0.002441)","0.5462 (0.001281)",25110,25110
"Normal",3,"H1",1,"CBAE-SI","0.02357 (0.001133)","0.1811 (0.0008021)","—","—",25110,
"Normal",3,"H1",1,"CBAE-MI","-0.02387 (0.001189)","0.1889 (0.0008799)","—","—",24836,
"Normal",3,"H1",1,"CMUE-MLE","0.01345 (0.001119)","0.1778 (0.0008526)","0.9725 (0.001032)","0.7484 (0.0006454)",25110,25110
"Normal",3,"H1",1,"CMUE-ZERO","0.08011 (0.001128)","0.1958 (0.0008403)","0.9390 (0.001510)","0.6464 (0.0005027)",25110,25110
"Normal",3,"H1",1,"RB","-0.002578 (0.001269)","0.2010 (0.0008859)","0.9543 (0.001318)","0.7885 (0.0005290)",25110,25110
"Normal",3,"H1",2,"Stage 2","0.0008487 (0.001642)","0.2601 (0.001149)","0.9481 (0.001400)","1.012 (0)",25095,25095
"Normal",3,"H1",2,"Naive","0.09934 (0.001080)","0.1978 (0.0008280)","0.8119 (0.002467)","0.5499 (0.001298)",25095,25095
"Normal",3,"H1",2,"CBAE-SI","0.02474 (0.001143)","0.1828 (0.0008015)","—","—",25095,
"Normal",3,"H1",2,"CBAE-MI","-0.02208 (0.001197)","0.1900 (0.0008665)","—","—",24845,
"Normal",3,"H1",2,"CMUE-MLE","0.01529 (0.001131)","0.1798 (0.0008441)","0.9717 (0.001046)","0.7471 (0.0006572)",25095,25095
"Normal",3,"H1",2,"CMUE-ZERO","0.08125 (0.001137)","0.1976 (0.0008373)","0.9357 (0.001549)","0.6455 (0.0005087)",25095,25095
"Normal",3,"H1",2,"RB","0.0004504 (0.001278)","0.2025 (0.0008634)","0.9522 (0.001347)","0.7870 (0.0005281)",25094,25094
"Normal",3,"H1",3,"Stage 2","-0.0003645 (0.001650)","0.2592 (0.001152)","0.9494 (0.001395)","1.012 (0)",24670,24670
"Normal",3,"H1",3,"Naive","0.1011 (0.001092)","0.1991 (0.0008391)","0.8104 (0.002496)","0.5476 (0.001294)",24670,24670
"Normal",3,"H1",3,"CBAE-SI","0.02584 (0.001157)","0.1835 (0.0008175)","—","—",24670,
"Normal",3,"H1",3,"CBAE-MI","-0.02229 (0.001214)","0.1910 (0.0008912)","—","—",24426,
"Normal",3,"H1",3,"CMUE-MLE","0.01597 (0.001146)","0.1806 (0.0008668)","0.9707 (0.001074)","0.7481 (0.0006574)",24670,24670
"Normal",3,"H1",3,"CMUE-ZERO","0.08298 (0.001153)","0.1992 (0.0008535)","0.9350 (0.001570)","0.6451 (0.0005175)",24670,24670
"Normal",3,"H1",3,"RB","0.0003512 (0.001299)","0.2040 (0.0009064)","0.9517 (0.001365)","0.7893 (0.0005359)",24669,24669
"Normal",3,"H1",4,"Stage 2","0.002677 (0.001634)","0.2586 (0.001160)","0.9504 (0.001372)","1.012 (0)",25037,25037
"Normal",3,"H1",4,"Naive","0.1007 (0.001078)","0.1981 (0.0008434)","0.8141 (0.002459)","0.5507 (0.001290)",25037,25037
"Normal",3,"H1",4,"CBAE-SI","0.02617 (0.001142)","0.1826 (0.0008185)","—","—",25037,
